번호,이름,썸네일,설명,음식 종류,오픈,클로즈,브레이크 타임,휴무일,거리(m),추천 날씨,네이버 지도,구글 지도,카카오맵,조회수
"1부터, PK",,,이미지와 함께 띄움,,,,,,,,,,,
no,name,image,contents,kind,open,close,break,day off,distance,weather,naver,google,kakao,view
1,인생극장쪽갈비 고척점,,,한식,오후 4:00:00,오후 11:00:00,,,472,3,https://naver.me/x6ZpWgRp,,,
2,멘야이찌방,,,일식,오전 11:00:00,오후 10:00:00,,,388,2,https://naver.me/xV3nWjqY,,,
3,명가 즉석 두부이야기 본점,,,한식,오전 10:00:00,오후 9:00:00,,,462,0,https://naver.me/5EQUUdVB,,,
4,지지고 동양미래대점,,,간편식,오전 11:00:00,오후 8:00:00,,"토, 일",171,0,https://naver.me/FuVE04ez,,,
5,데일리스위츠,,,디저트,오후 12:00:00,오후 8:00:00,,"월, 화, 수",485,0,https://naver.me/FDQXopVl,,,
6,공양,,,주점,오후 5:00:00,오후 8:00:00,,,269,1,https://naver.me/xC6i1vzx,,,
7,빨봉분식 고척점,,,분식,오전 10:30:00,오후 11:00:00,,,214,3,https://naver.me/FXZrEchw,,,
8,샤브향 구로점,,,아시안,오전 11:00:00,오후 9:30:00,,,507,0,https://naver.me/5pNEbzIA,,,
9,전주맛집,,,한식,오전 11:00:00,오후 10:00:00,,일,493,0,https://naver.me/G6D5DNcR,,,
10,고척동 삼겹살,,,한식,오전 11:30:00,오후 11:00:00,,,269,1,https://naver.me/GBfu4QoL,,,
11,써브웨이 동양미래대점,,,간편식,오전 8:00:00,오후 10:00:00,,,272,0,https://naver.me/xsw9EyqW,,,
12,고척돈까스,,,분식,오전 8:00:00,오후 9:00:00,,일,454,0,https://naver.me/GTgsQBos,,,
13,고척칼국수,,,한식,오전 11:00:00,오후 8:30:00,15:00 - 16:30,수,370,1,https://naver.me/5cT3WgoQ,,,
14,만포순대국 돼지국밥,,,한식,오전 11:00:00,오후 10:30:00,,,234,2,https://naver.me/55IRQqI6,,,
15,동명,,,일식,오전 11:00:00,오전 12:00:00,,,117,0,https://naver.me/FvnENXoN,,,
16,고효 고기굽는효자들,,,한식,오후 5:00:00,오전 3:00:00,,,782,3,https://naver.me/G9ttjFFN,,,
17,콩포트브런치,,,양식,오전 9:00:00,오후 10:00:00,17:00 - 18:00,,956,0,https://naver.me/FIovsXmd,,,
18,뒤뜰,,,한식,오전 11:30:00,오후 10:00:00,15:00 - 16:30,,700,0,https://naver.me/Goz5zuo3,,,
19,신선설농탕 고척점,,,한식,오전 10:00:00,오후 10:00:00,,,632,2,https://naver.me/xQO8v1Kk,,,
20,송림가,,,한식,오전 11:30:00,오후 9:30:00,15:00 - 17:00,,504,0,https://naver.me/xhHnlddW,,,
21,닐리 고척점,,,이태리,오전 11:00:00,오후 8:30:00,,,689,0,https://naver.me/5mYVZUpt,,,
22,실크로드,,,중식,오전 11:30:00,오후 9:30:00,15:00 - 17:00,,504,0,https://naver.me/FwnAcRb0,,,
23,잭슨피자 고척점,,,인스턴트,오전 11:00:00,오후 10:00:00,,,585,1,https://naver.me/Fx9jqDZo,,,
24,미분당 고척점,,,아시안,오전 11:00:00,오후 9:00:00,15:00 - 17:00,,585,2,https://naver.me/Gu0gJIzB,,,
25,르디투어 아이파크몰 고척점,,,디저트,오전 10:00:00,오후 10:00:00,,,926,0,https://naver.me/x7reTeNC,,,
26,맥도날드 고척DT점,,,인스턴트,오전 7:00:00,오전 2:00:00,,,529,0,https://naver.me/5FeECkdh,,,
27,스타벅스 구로고척점,,,디저트,오전 8:00:00,오후 8:00:00,,,585,0,https://naver.me/xWNyebSV,,,
28,고척짬뽕,,,중식,오전 11:30:00,오후 5:00:00,,월,797,2,https://naver.me/xRQPOhw1,,,
29,놀부부대찌개 고척점,,,한식,오전 10:30:00,오후 10:00:00,,,209,3,https://naver.me/GkKJK244,,,
30,고척면가,,,한식,오전 11:00:00,오후 9:30:00,14:30 - 17:00,일,705,3,https://naver.me/5ux3Hemw,,,
31,고척동이태리,,,이태리,오전 11:30:00,오후 9:30:00,15:00 - 16:30,,462,0,https://naver.me/xzcQjKGh,,,
32,투썸플레이스 동양미래대점,,,디저트,오전 10:00:00,오후 11:00:00,,,261,0,https://naver.me/FMAcpwNn,,,
33,최고당돈가스 고척돔점,,,일식,오전 11:00:00,오후 9:00:00,,,322,0,https://naver.me/GGh8kSXK,,,
34,전가복,,,중식,오전 10:30:00,오후 8:30:00,,,192,0,https://naver.me/GjR6fqZV,,,
35,일품각양꼬치훠궈 돔야구장점,,,중식,오후 4:00:00,오전 12:00:00,,월,451,3,https://naver.me/5h3EFdO3,,,
36,태니스피자펍,,,주점,오전 11:00:00,오전 2:00:00,,,294,2,https://naver.me/GFpAPwKB,,,
37,난연스시,,,일식,오전 11:30:00,오후 10:00:00,15:00 - 16:30,일,407,1,https://naver.me/xM0vhpcK,,,
38,취화원,,,중식,오전 11:30:00,오후 7:40:00,13:50 - 17:00,월,756,0,https://naver.me/xmrtTMsX,,,
39,우장창창 고척점,,,한식,오후 4:00:00,오전 12:00:00,,,248,3,https://naver.me/GWFeeHms,,,
40,계림중화요리,,,중식,오전 11:00:00,오후 9:00:00,15:30 - 17:00,월,682,0,https://naver.me/52lybu3s,,,
41,대왕곱창,,,한식,오후 4:30:00,오전 12:00:00,,,209,1,https://naver.me/F9QpuVQ7,,,
42,명태천국명태조림감자탕,,,한식,오전 10:00:00,오후 10:00:00,,일,760,1,https://naver.me/xgaKZhcc,,,
43,피자스쿨 동양미래대학점,,,인스턴트,오전 11:00:00,오후 10:00:00,,,234,0,https://naver.me/IDBplp8G,,,
44,청이,,,중식,오전 10:50:00,오후 8:40:00,,,332,0,https://naver.me/GRmo9yVc,,,
45,맘스터치 동양미래대점,,,인스턴트,오전 10:30:00,오후 10:00:00,,,233,0,https://naver.me/5MUQlDyR,,,
46,동대문엽기떡볶이 구로고척점,,,분식,오전 11:00:00,오후 10:00:00,,,144,0,https://naver.me/G14154m6,,,
47,얌얌브레드 고척점,,,디저트,오전 10:00:00,오후 8:00:00,,일,123,0,https://naver.me/FCbu9x5a,,,
